Stkcd,Accper,Typrep,B001000000,B001100000,B001101000,B001200000,B001201000,B001207000,B001209000,B001210000,B001211000,B001212000,A002000000,A001000000,Indnme,Nindnme
600696,2018-3-31,A,8669264.35,18784589.8,18784589.8,10689923.22,7810739.35,204595.11,281510.68,2260219.43,115431.05,17427.6,443783409.8,745548425.0,房地产,房地产业
547,2018-3-31,A,96757726.45,517945246.5,517945246.5,426691627.5,272951740.1,789386.98,12657162.87,134498788.0,2518200.78,3276348.85,1681114210.0,7442313874.0,工业,信息技术业
2772,2018-3-31,A,89533624.86,267161661.1,267161661.1,189823265.9,152798488.1,694050.24,30133399.88,9984416.73,-3692930.13,-94158.98,1422486602.0,4176131959.0,综合,农业
818,2018-3-31,A,174146344.7,907539547.9,907539547.9,733869064.7,653598292.4,15336943.77,24841913.58,34758925.04,3701613.61,1631376.36,1322972062.0,4061964181.0,工业,化学原料及化学制品制造业
300568,2018-3-31,A,106998276.4,171703944.2,171703944.2,121289130.4,80665569.24,2874172.01,3784963.29,27099023.95,6086240.16,779161.74,1485784952.0,2852590436.0,工业,化学原料及化学制品制造业
300282,2018-3-31,A,20772844.36,123728974.4,123728974.4,108734443.6,74363104.91,658046.92,7425442.63,21355510.54,-502511.25,5434849.83,151274818.2,2546022102.0,工业,信息技术业
2313,2018-3-31,A,-4894755.2,597608156.6,597608156.6,607652329.9,481255016.5,2495854.73,35148084.11,72729449.87,13536780.34,2487144.36,3398692030.0,5439971080.0,工业,信息技术业
600705,2018-3-31,A,1357163873.0,2779306478.0,1470703392.0,1692376287.0,825106311.6,15429945.69,344849928.2,253462859.9,160624575.9,64766829.94,198508000000.0,227648000000.0,金融,其他金融业
603637,2018-3-31,A,5929397.88,72483512.45,72483512.45,72829133.91,67715735.63,163533.06,697828.21,4929164.43,-184995.93,-492131.49,235146227.4,958892732.6,房地产,土木工程建筑业
603369,2018-3-31,A,676777504.5,1491542807.0,1490190804.0,852790917.8,382291886.4,208963349.2,216671128.4,46674191.23,-1441510.62,-368126.9,1441841842.0,7229899420.0,工业,饮料制造业
2818,2018-3-31,A,209934751.2,328241076.4,328241076.4,123917329.2,92294338.38,19685611.98,367808.26,10704879.75,13172.94,851517.91,1081200751.0,5501391824.0,公用事业,其他社会服务业
300114,2018-3-31,A,31821984.29,305112585.0,305112585.0,276732852.7,199184360.3,3778364.34,30231904.93,41060964.84,-2568292.83,5045551.12,538623168.7,2131157072.0,工业,信息技术业
603788,2018-3-31,A,96316075.7,384411509.1,384411509.1,300964545.3,254558390.6,3521302.34,15810209.24,22945707.15,-193786.42,4322722.4,358680321.6,2313621530.0,工业,交通运输设备制造业
600961,2018-3-31,A,-30893815.17,2778633073.0,2778633073.0,2866389722.0,2744147158.0,7047663.47,16244726.5,44000392.61,34693629.71,20256151.88,6449571819.0,6625426865.0,工业,有色金属冶炼及压延加工业
739,2018-3-31,A,83069250.05,1445922687.0,1445922687.0,1368517684.0,1001979693.0,13162135.26,162865667.8,155024340.6,31368317.55,4117529.35,2727768706.0,5844572565.0,工业,医药制造业
600114,2018-3-31,A,97841277.5,531551865.4,531551865.4,437089502.6,342606542.6,7716930.62,17488788.84,63811461.76,2838312.52,2627466.24,601897329.1,3415370708.0,工业,金属制品业
921,2018-3-31,A,360036178.7,8974222299.0,8974222299.0,8824301794.0,7368462344.0,57149348.38,1126095179.0,262958462.4,6068143.45,3568316.69,15033533641.0,22288936754.0,工业,电器机械及器材制造业
600829,2018-3-31,A,94649623.77,1706007493.0,1706007493.0,1611579296.0,1476515069.0,5863630.75,60968299.22,65206437.54,7926888.14,-4901028.61,3103750691.0,4785280265.0,商业,批发和零售贸易
555,2018-3-31,A,32170879.41,2211351513.0,2211351513.0,2193301991.0,1772579228.0,11803446.64,123053667.6,157003587.2,-956954.58,129819016.0,4554945743.0,9542414386.0,公用事业,计算机应用服务业
2653,2018-3-31,A,70082084.77,478056073.6,478056073.6,495876242.7,164721804.6,7540483.54,236188154.0,78851100.58,4869749.09,3704950.88,2192957440.0,4215210459.0,工业,医药制造业
600321,2018-3-31,A,1964682.18,383517878.5,383517878.5,382410898.3,354157551.5,266357.8,7012570.92,12857934.47,8606271.78,-489788.18,999402059.9,3660554741.0,工业,木材加工及竹、藤、棕、草制品业
603636,2018-3-31,A,-1509569.02,54452188.32,54452188.32,72857995.25,33194038.11,1142762.4,9213725.01,28786053.28,1548183.06,-1026766.61,742848292.3,2404876147.0,公用事业,计算机应用服务业
600567,2018-3-31,A,717428031.4,5418906785.0,5418906785.0,4900939082.0,4266516843.0,60416253.07,239838692.1,187447846.5,191581324.0,-44861877.0,20072597173.0,31125007538.0,工业,造纸及纸制品业
603199,2018-3-31,A,40905669.74,113466026.9,113466026.9,75058124.91,55496787.69,1669007.91,5146485.8,12182367.02,-46586.56,610063.05,133223090.1,1187954245.0,公用事业,公共设施服务业
959,2018-3-31,A,674186809.9,14612322480.0,14612322480.0,13976680882.0,12658100699.0,171660036.8,284316317.7,248134417.1,578100835.5,36368575.71,98628922322.0,136005000000.0,工业,黑色金属冶炼及压延加工业
