Stkcd,Accper,Typrep,B001000000,B001100000,B001101000,B001200000,B001201000,B001207000,B001209000,B001210000,B001211000,B001212000,A002000000,A001000000,Indnme,Nindnme,利润率,资产负债率
600696,2018-03-31,A,8669264.35,18784589.8,18784589.8,10689923.22,7810739.35,204595.11,281510.68,2260219.43,115431.05,17427.6,443783409.8,745548425.0,房地产,房地产业,46.15093777560157,59.52442456034965
547,2018-03-31,A,96757726.45,517945246.5,517945246.5,426691627.5,272951740.1,789386.98,12657162.87,134498788.0,2518200.78,3276348.85,1681114210.0,7442313874.0,工业,信息技术业,18.681072392079574,22.588595945584007
2772,2018-03-31,A,89533624.86,267161661.1,267161661.1,189823265.9,152798488.1,694050.24,30133399.88,9984416.73,-3692930.13,-94158.98,1422486602.0,4176131959.0,综合,农业,33.51290169830435,34.06230013719737
818,2018-03-31,A,174146344.7,907539547.9,907539547.9,733869064.7,653598292.4,15336943.77,24841913.58,34758925.04,3701613.61,1631376.36,1322972062.0,4061964181.0,工业,化学原料及化学制品制造业,19.18884362703154,32.56976189470736
300568,2018-03-31,A,106998276.4,171703944.2,171703944.2,121289130.4,80665569.24,2874172.01,3784963.29,27099023.95,6086240.16,779161.74,1485784952.0,2852590436.0,工业,化学原料及化学制品制造业,62.315561182082625,52.08546355793784
300282,2018-03-31,A,20772844.36,123728974.4,123728974.4,108734443.6,74363104.91,658046.92,7425442.63,21355510.54,-502511.25,5434849.83,151274818.2,2546022102.0,工业,信息技术业,16.788989370302254,5.9416144927087515
2313,2018-03-31,A,-4894755.2,597608156.6,597608156.6,607652329.9,481255016.5,2495854.73,35148084.11,72729449.87,13536780.34,2487144.36,3398692030.0,5439971080.0,工业,信息技术业,-0.8190576293081339,62.476288568798786
600705,2018-03-31,A,1357163873.0,2779306478.0,1470703392.0,1692376287.0,825106311.6,15429945.69,344849928.2,253462859.9,160624575.9,64766829.94,198508000000.0,227648000000.0,金融,其他金融业,48.83102614781154,87.19953612594882
603637,2018-03-31,A,5929397.88,72483512.45,72483512.45,72829133.91,67715735.63,163533.06,697828.21,4929164.43,-184995.93,-492131.49,235146227.4,958892732.6,房地产,土木工程建筑业,8.180340162309559,24.52268323719695
603369,2018-03-31,A,676777504.5,1491542807.0,1490190804.0,852790917.8,382291886.4,208963349.2,216671128.4,46674191.23,-1441510.62,-368126.9,1441841842.0,7229899420.0,工业,饮料制造业,45.37432659148615,19.942764874590747
2818,2018-03-31,A,209934751.2,328241076.4,328241076.4,123917329.2,92294338.38,19685611.98,367808.26,10704879.75,13172.94,851517.91,1081200751.0,5501391824.0,公用事业,其他社会服务业,63.95748926443625,19.65322204979523
